date,close,high,low,open,volume
2019-01-02 11:11:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:12:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:13:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:14:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:15:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:16:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:17:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:18:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:19:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:20:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:21:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:22:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:23:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:24:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:25:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:26:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:27:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:28:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:29:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:30:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:31:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:32:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:33:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:34:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:35:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:36:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:37:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:38:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:39:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:40:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:41:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:42:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:43:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:44:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:45:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:46:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:47:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:48:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:49:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:50:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:51:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:52:00+05:30,369.75,369.75,369.75,369.75,0
2019-01-02 11:53:00+05:30,369.75,369.75,369.75,369.75,0
